DateTime,DistrictCoolingFacility,DistrictHeatingFacility,DrybulbTemperatureHourly,ElectricityFacility,ZONE10OperativeTemperature,ZONE1OperativeTemperature,ZONE2OperativeTemperature,ZONE3OperativeTemperature,ZONE4OperativeTemperature,ZONE5OperativeTemperature,ZONE6OperativeTemperature,ZONE7OperativeTemperature,ZONE8OperativeTemperature
1546423200,0,0,8.639274691,56613.73109,18.37524133,17.80914108,14.26243768,17.46585723,18.54890876,18.50435627,19.20843755,17.45451052,24.01397127
1546426800,0,0,11.18287037,56613.73109,18.55677026,17.89523727,14.3992748,17.50549158,18.53455228,18.35592105,19.38437932,17.50814724,24.88405873
1546430400,0,6254681.015,12.68325617,56613.73109,19.54562858,19.17910169,14.49962677,18.93132575,19.39957948,18.39050993,19.93940886,18.95206042,25.43951153
1546434000,0,5736705.184,13.00192901,56613.73109,19.61064659,19.27933857,14.54835392,19.02583549,19.4277437,18.38987758,19.92345725,19.0328753,25.42959775
1546437600,0,0,12.26080247,56613.73109,18.99618282,18.38025634,14.53181102,17.91430162,18.65871687,18.3370054,19.44753038,17.89911906,24.6831897
1546441200,0,0,11.07484568,56613.73109,18.65229861,17.98567999,14.4762708,17.58327247,18.43677462,18.24863065,19.14242043,17.49537403,23.56334348
1546444800,0,0,9.737654321,1357659.559,18.80955244,17.82352838,14.41104074,17.46557368,18.32837698,18.15429339,18.97067523,17.34349566,22.8882969
1546448400,0,10694257.92,8.481867284,1457859.892,19.55150255,19.10231732,14.34789286,18.90635228,19.31043806,19.27152854,19.68390256,18.86093108,22.446925
1546452000,0,9245514.957,7.804012346,1727507.273,19.58140278,19.16829641,14.30366779,18.99592355,19.34638797,19.36373791,19.69052023,18.94998951,22.10916718
1546455600,0,9242723.94,7.338734568,3524012.411,19.5961173,19.19686657,14.27347469,19.03442253,19.3535267,19.39762561,19.68431676,18.96909306,22.03863063
1546459200,0,9298890.198,6.52507716,3624212.744,19.60668509,19.21781873,14.22090414,19.0609641,19.36266547,19.42035212,19.68292074,18.98800269,21.85294043
1546462800,0,9431279.383,5.898533951,3624212.744,19.61693195,19.23042522,14.18011293,19.08020212,19.36747519,19.4361563,19.67858295,19.00055154,21.69250181
1546466400,0,2552350.233,5.09375,3411047.712,18.8652314,18.04239891,14.13908226,17.81138831,18.30033329,19.44379901,18.82904358,17.46094096,21.32218542
1546470000,0,207951.1233,5.132716049,156814.0642,18.35327512,17.58545762,14.07997989,17.42314712,18.07979719,18.35840237,18.56262599,17.08254407,20.64251557
1546473600,0,277268.1644,5.357638889,56613.73109,18.22461611,17.50015622,14.03864897,17.34053483,18.03826918,18.05066053,18.51136313,17.01280755,20.52542308
1546477200,0,277268.1644,5.121527778,56613.73109,18.16744136,17.48936878,14.02205844,17.30480018,18.04581898,17.98293628,18.50591355,17.01103675,20.70696308
1546480800,0,277268.1644,4.855709877,56613.73109,18.11354744,17.41654476,14.02260083,17.23961253,17.99232081,17.91265186,18.44396202,16.93423568,20.53293423
1546484400,0,277268.1644,4.466049383,56613.73109,18.0215115,17.26211174,13.97709764,17.13119209,17.8624248,17.82221704,18.30972707,16.7615575,19.93678116
1546488000,0,277268.1644,4.040895062,56613.73109,17.93496872,17.18576479,13.90299505,17.0672822,17.80631412,17.75524821,18.23950045,16.67768233,19.72889223
1546491600,0,3545960.016,3.410493827,56613.73109,17.8750323,17.17904243,13.8496447,17.04007422,17.81720799,19.13971216,18.22618321,16.67491704,19.88169377
1546495200,0,16230932.14,3.238040123,56613.73109,19.31684465,18.91977775,13.8472662,18.79921104,19.16058738,19.30721693,19.43916174,18.66287409,20.29630537
1546498800,0,15326850.88,3.635416667,2154928.582,19.42248234,19.06274992,13.86609552,18.93829563,19.26938772,19.35307901,19.54477199,18.83493915,20.53531224
1546502400,0,5058001.942,4.413194444,2072339.448,18.35470086,17.94141343,13.89083001,17.68452611,18.41925889,19.38905412,18.98768742,17.45969148,21.55222117
1546506000,0,4916496.572,5.572145062,1871940.502,18.12801661,17.77213471,13.94096065,17.48053649,18.39057211,19.41523077,18.97655683,17.2581607,22.60497529
1546509600,0,0,6.541280864,56613.73109,18.17229498,17.62332672,13.99161839,17.31794097,18.37741497,18.37542267,18.96694704,17.24990894,23.27091892
1546513200,0,0,6.913966049,56613.73109,18.19745346,17.59452596,14.02017649,17.27168269,18.28486321,18.10697221,18.91668754,17.19110841,23.26650484
